,ID,TEAM,JERSEY_NUM,POSITION,COUNTRY,AGE,BD_YEAR,BD_MONTH,BD_DAY,EXPERIENCE
86,1631114,Oklahoma City Thunder,8.0,Guard-Forward,USA,22.0,2001.0,APRIL,14.0,1
87,1629673,Washington Wizards,13.0,Guard,USA,24.0,1999.0,JUNE,19.0,4
88,1630183,Minnesota Timberwolves,3.0,Forward,USA,23.0,2000.0,SEPTEMBER,29.0,3
89,1629645,Houston Rockets,3.0,Guard-Forward,USA,,2000.0,MAY,4.0,5
90,203915,Brooklyn Nets,26.0,Guard,USA,30.0,1993.0,APRIL,6.0,9
91,1628976,Orlando Magic,34.0,Center-Forward,USA,24.0,1999.0,APRIL,16.0,5
92,201566,LA Clippers,0.0,Guard,USA,34.0,1988.0,NOVEMBER,12.0,15
93,202699,Philadelphia 76ers,12.0,Forward,USA,31.0,1992.0,JULY,15.0,12
94,1630168,Atlanta Hawks,17.0,Forward-Center,USA,22.0,2000.0,DECEMBER,11.0,3
95,1629661,Brooklyn Nets,2.0,Forward,USA,27.0,1996.0,MARCH,3.0,4
96,1628366,Chicago Bulls,2.0,Guard,USA,25.0,1997.0,OCTOBER,27.0,5
97,1630170,San Antonio Spurs,24.0,Guard-Forward,USA,23.0,2000.0,AUGUST,23.0,3
98,1627751,Toronto Raptors,19.0,Center,Austria,28.0,1995.0,OCTOBER,15.0,7
99,203924,Portland Trail Blazers,9.0,Forward,USA,29.0,1994.0,MARCH,12.0,9
100,203994,Phoenix Suns,27.0,Center,Bosnia and Herzegovina,29.0,1994.0,AUGUST,23.0,9
101,203486,LA Clippers,44.0,Forward-Center,USA,33.0,1990.0,MARCH,5.0,10
102,1629012,Utah Jazz,2.0,Guard,USA,24.0,1999.0,JANUARY,4.0,5
103,1630175,Orlando Magic,50.0,Guard,USA,23.0,2000.0,MAY,15.0,3
104,1631093,Detroit Pistons,23.0,Guard,USA,21.0,2002.0,FEBRUARY,13.0,1
105,1628381,Utah Jazz,20.0,Forward-Center,USA,26.0,1997.0,SEPTEMBER,23.0,6
106,1631099,Sacramento Kings,13.0,Forward,USA,23.0,2000.0,AUGUST,19.0,1
107,1628989,Sacramento Kings,9.0,Guard-Forward,USA,25.0,1998.0,AUGUST,27.0,5
108,1628370,Sacramento Kings,0.0,Guard,USA,25.0,1998.0,FEBRUARY,4.0,6
109,1628404,New York Knicks,3.0,Guard,USA,28.0,1995.0,MARCH,6.0,6
110,1629018,Toronto Raptors,33.0,Guard-Forward,USA,24.0,1999.0,JANUARY,18.0,5
111,1628365,Orlando Magic,20.0,Guard,USA,25.0,1998.0,MAY,29.0,6
112,1627741,Indiana Pacers,7.0,Guard,Bahamas,30.0,1992.0,DECEMBER,17.0,7
113,203903,Utah Jazz,0.0,Guard,USA,31.0,1992.0,JUNE,7.0,9
114,1626162,Philadelphia 76ers,9.0,Forward-Guard,USA,27.0,1995.0,DECEMBER,9.0,8
115,1629640,San Antonio Spurs,3.0,Forward-Guard,USA,24.0,1999.0,OCTOBER,11.0,4
116,1629675,Minnesota Timberwolves,11.0,Center-Forward,USA,24.0,1999.0,AUGUST,26.0,4
117,203500,Memphis Grizzlies,4.0,Center,New Zealand,30.0,1993.0,JULY,20.0,10
118,1627826,LA Clippers,40.0,Center,Croatia,26.0,1997.0,MARCH,18.0,7
119,1626172,Golden State Warriors,5.0,Forward,USA,27.0,1996.0,FEBRUARY,6.0,8
120,203084,Sacramento Kings,40.0,Forward,USA,31.0,1992.0,MAY,30.0,11
121,1631097,Indiana Pacers,0.0,Guard-Forward,Canada,21.0,2002.0,JUNE,19.0,1
122,1626145,Washington Wizards,5.0,Guard,USA,27.0,1996.0,MAY,10.0,8
123,1630529,New Orleans Pelicans,5.0,Forward,USA,25.0,1998.0,OCTOBER,6.0,2
124,1631095,Houston Rockets,1.0,Forward,USA,20.0,2003.0,MAY,13.0,1
125,1631106,Houston Rockets,17.0,Forward,USA,22.0,2001.0,MAY,10.0,1
126,202330,Charlotte Hornets,20.0,Forward,USA,33.0,1990.0,MARCH,23.0,13
127,1626181,LA Clippers,24.0,Guard,USA,30.0,1993.0,MAY,25.0,8
128,1629020,Los Angeles Lakers,2.0,Forward,USA,24.0,1999.0,APRIL,3.0,5
